Fecha de Venta,ClienteID,Cantidad,Precio Unitario,DescuentoID,Prioridad,Medio de Envío,Segmento,Provincia,ID
2009-01-01,35,9,95.99,14,Not Specified,Express Air,Home Office,Quebec,1
2009-01-01,1,32,5.98,15,High,Regular Air,Small Business,Ontario,2
2009-01-02,35,3,40.98,8,Critical,Regular Air,Consumer,Nova Scotia,3
2009-01-02,30,4,291.73,15,Low,Delivery Truck,Corporate,British Columbia,4
2009-01-02,30,43,100.98,1,Low,Delivery Truck,Corporate,British Columbia,5
2009-01-02,26,32,155.06,11,Low,Regular Air,Corporate,British Columbia,6
2009-01-02,34,16,9.11,10,Critical,Express Air,Consumer,British Columbia,7
2009-01-02,16,43,15.04,2,Critical,Regular Air,Consumer,British Columbia,8
2009-01-03,26,15,5.28,7,Critical,Regular Air,Corporate,Ontario,9
2009-01-03,35,8,110.99,4,Critical,Regular Air,Corporate,Ontario,10
2009-01-03,10,29,5.58,14,High,Regular Air,Home Office,New Brunswick,11
2009-01-03,6,4,212.6,10,High,Delivery Truck,Home Office,New Brunswick,12
2009-01-03,32,12,43.22,13,Low,Regular Air,Corporate,Saskachewan,13
2009-01-03,7,49,574.74,4,Low,Regular Air,Corporate,Saskachewan,14
2009-01-03,20,12,10.14,10,Low,Regular Air,Corporate,Saskachewan,15
2009-01-03,27,29,4.26,9,High,Regular Air,Home Office,Alberta,16
2009-01-03,5,12,20.98,4,High,Regular Air,Home Office,Alberta,17
2009-01-03,35,4,213.45,3,Not Specified,Delivery Truck,Corporate,Alberta,18
2009-01-04,28,17,3.36,11,Critical,Regular Air,Corporate,Ontario,19
2009-01-04,13,42,3.71,9,Critical,Express Air,Corporate,Ontario,20
2009-01-04,30,3,350.98,11,High,Delivery Truck,Home Office,Ontario,21
2009-01-05,14,6,120.97,2,High,Delivery Truck,Home Office,Northwest Territories,22
2009-01-05,8,6,28.48,12,High,Regular Air,Consumer,British Columbia,23
2009-01-05,28,11,205.99,3,High,Regular Air,Consumer,British Columbia,24
2009-01-05,32,5,243.98,12,Not Specified,Delivery Truck,Corporate,British Columbia,25
2009-01-05,38,21,194.3,10,Critical,Regular Air,Small Business,Ontario,26
2009-01-05,6,41,209.84,1,Critical,Regular Air,Small Business,Ontario,27
2009-01-05,30,33,145.45,15,Critical,Delivery Truck,Small Business,Ontario,28
2009-01-05,22,43,1.81,1,Critical,Regular Air,Consumer,Ontario,29
2009-01-05,16,29,20.98,14,Critical,Delivery Truck,Consumer,Ontario,30
2009-01-05,35,48,279.48,2,Critical,Regular Air,Consumer,Ontario,31
2009-01-05,4,49,4.91,7,Critical,Regular Air,Consumer,Ontario,32
2009-01-05,34,25,125.99,2,Critical,Regular Air,Consumer,Ontario,33
2009-01-05,38,24,7.64,6,Not Specified,Regular Air,Home Office,Quebec,34
2009-01-05,5,43,5.98,4,Medium,Regular Air,Corporate,Manitoba,35
2009-01-05,12,23,30.98,10,High,Regular Air,Home Office,Saskachewan,36
2009-01-06,19,30,880.98,8,Critical,Delivery Truck,Home Office,Northwest Territories,37
2009-01-06,5,23,100.98,14,Low,Delivery Truck,Small Business,Newfoundland,38
2009-01-06,12,1,7.68,9,Medium,Express Air,Consumer,Manitoba,39
2009-01-06,22,19,6.64,8,Medium,Express Air,Consumer,Manitoba,40
2009-01-06,8,23,150.98,4,Not Specified,Delivery Truck,Consumer,Saskachewan,41
2009-01-06,33,46,28.28,6,Not Specified,Express Air,Consumer,Saskachewan,42
2009-01-06,15,2,35.99,5,Not Specified,Regular Air,Consumer,Saskachewan,43
2009-01-06,31,17,2.1,15,Critical,Regular Air,Consumer,New Brunswick,44
2009-01-06,18,27,1.7,7,Not Specified,Regular Air,Consumer,New Brunswick,45
2009-01-06,26,34,30.98,4,Not Specified,Regular Air,Consumer,New Brunswick,46
2009-01-06,18,46,6.48,13,Low,Regular Air,Corporate,New Brunswick,47
2009-01-06,39,6,20.34,13,Low,Regular Air,Corporate,New Brunswick,48
2009-01-06,7,29,3.28,6,High,Regular Air,Home Office,Yukon,49
2009-01-07,8,11,65.99,9,High,Regular Air,Small Business,Ontario,50
2009-01-07,15,30,20.98,15,Medium,Express Air,Consumer,Ontario,51
2009-01-07,3,2,73.98,12,Medium,Regular Air,Consumer,Ontario,52
2009-01-07,12,6,1.76,8,Low,Regular Air,Corporate,Nova Scotia,53
2009-01-07,19,3,1.98,8,Medium,Regular Air,Home Office,Quebec,54
2009-01-07,29,3,699.99,5,Medium,Express Air,Home Office,Quebec,55
2009-01-07,15,7,6783.02,10,Medium,Regular Air,Home Office,Quebec,56
2009-01-07,21,34,65.99,2,Low,Regular Air,Small Business,British Columbia,57
2009-01-07,15,46,15.99,8,High,Regular Air,Consumer,Alberta,58
2009-01-08,18,16,4.13,11,High,Regular Air,Home Office,Ontario,59
2009-01-08,25,3,22.72,11,High,Regular Air,Home Office,Ontario,60
2009-01-08,28,23,14.56,7,Not Specified,Regular Air,Home Office,Saskachewan,61
2009-01-08,5,25,896.99,5,High,Regular Air,Corporate,Alberta,62
2009-01-09,25,9,4.13,13,Not Specified,Regular Air,Home Office,Ontario,63
